Time,Signal,Price,Balance
2025-07-08T18:20:00.000000000Z,SELL,95.784,195784.0
2025-07-08T20:55:00.000000000Z,BUY,95.708,4368.0
2025-07-08T21:30:00.000000000Z,SELL,95.638,195644.0
2025-07-08T22:20:00.000000000Z,BUY,95.691,4262.0
2025-07-09T00:15:00.000000000Z,SELL,95.792,195846.0
2025-07-09T00:30:00.000000000Z,BUY,95.846,4154.0
2025-07-09T02:45:00.000000000Z,SELL,95.816,195786.0
2025-07-09T03:50:00.000000000Z,BUY,95.946,3894.0
2025-07-09T05:40:00.000000000Z,SELL,96.094,196082.0
2025-07-09T07:00:00.000000000Z,BUY,96.052,3978.0
2025-07-09T07:20:00.000000000Z,SELL,95.945,195868.0
2025-07-09T09:35:00.000000000Z,BUY,95.776,4316.0
2025-07-09T10:05:00.000000000Z,SELL,95.762,195840.0
2025-07-09T11:45:00.000000000Z,BUY,95.688,4464.0
2025-07-09T11:55:00.000000000Z,SELL,95.636,195736.0
2025-07-09T12:50:00.000000000Z,BUY,95.729,4278.0
2025-07-09T14:20:00.000000000Z,SELL,95.743,195764.0
2025-07-09T16:05:00.000000000Z,BUY,95.689,4386.0
2025-07-09T16:10:00.000000000Z,SELL,95.64,195666.0
2025-07-09T17:10:00.000000000Z,BUY,95.678,4310.0
2025-07-09T17:50:00.000000000Z,SELL,95.671,195652.0
2025-07-09T17:55:00.000000000Z,BUY,95.654,4344.0
2025-07-09T18:40:00.000000000Z,SELL,95.662,195668.0
2025-07-09T18:55:00.000000000Z,BUY,95.662,4344.0
2025-07-09T20:35:00.000000000Z,SELL,95.67,195684.0
2025-07-09T22:15:00.000000000Z,BUY,95.642,4400.0
2025-07-09T22:50:00.000000000Z,SELL,95.598,195596.0
2025-07-10T02:00:00.000000000Z,BUY,95.53,4536.0
2025-07-10T04:10:00.000000000Z,SELL,95.694,195924.0
2025-07-10T04:50:00.000000000Z,BUY,95.732,4460.0
2025-07-10T04:55:00.000000000Z,SELL,95.701,195862.0
2025-07-10T05:00:00.000000000Z,BUY,95.72,4422.0
2025-07-10T09:50:00.000000000Z,SELL,95.922,196266.0
2025-07-10T11:10:00.000000000Z,BUY,95.926,4414.0
2025-07-10T11:55:00.000000000Z,SELL,95.817,196048.0
2025-07-10T12:55:00.000000000Z,BUY,95.937,4174.0
2025-07-10T17:25:00.000000000Z,SELL,96.264,196702.0
2025-07-10T18:35:00.000000000Z,BUY,96.273,4156.0
2025-07-10T21:00:00.000000000Z,SELL,96.255,196666.0
2025-07-10T22:05:00.000000000Z,BUY,96.364,3938.0
2025-07-10T23:30:00.000000000Z,SELL,96.376,196690.0
2025-07-10T23:50:00.000000000Z,BUY,96.444,3802.0
2025-07-11T00:15:00.000000000Z,SELL,96.152,196106.0
2025-07-11T01:10:00.000000000Z,BUY,96.367,3372.0
2025-07-11T03:00:00.000000000Z,SELL,96.673,196718.0
2025-07-11T03:40:00.000000000Z,BUY,96.744,3230.0
2025-07-11T04:40:00.000000000Z,SELL,96.676,196582.0
2025-07-11T06:35:00.000000000Z,BUY,96.656,3270.0
2025-07-11T06:40:00.000000000Z,SELL,96.666,196602.0
2025-07-11T06:55:00.000000000Z,BUY,96.737,3128.0
2025-07-11T08:05:00.000000000Z,SELL,96.6,196328.0
2025-07-11T09:15:00.000000000Z,BUY,96.686,2956.0
2025-07-11T10:50:00.000000000Z,SELL,96.714,196384.0
2025-07-11T11:00:00.000000000Z,BUY,96.72,2944.0
2025-07-11T12:05:00.000000000Z,SELL,96.65,196244.0
2025-07-11T12:50:00.000000000Z,BUY,96.726,2792.0
2025-07-11T15:05:00.000000000Z,SELL,96.943,196678.0
2025-07-11T15:15:00.000000000Z,BUY,96.922,2834.0
2025-07-11T15:25:00.000000000Z,SELL,96.873,196580.0
2025-07-11T16:40:00.000000000Z,BUY,96.924,2732.0
2025-07-11T19:15:00.000000000Z,SELL,96.999,196730.0
2025-07-13T22:20:00.000000000Z,BUY,96.731,3268.0
2025-07-14T00:15:00.000000000Z,SELL,96.889,197046.0
2025-07-14T00:20:00.000000000Z,BUY,96.874,3298.0
2025-07-14T00:50:00.000000000Z,SELL,96.758,196814.0
2025-07-14T02:25:00.000000000Z,BUY,96.61,3594.0
2025-07-14T04:35:00.000000000Z,SELL,96.666,196926.0
2025-07-14T05:30:00.000000000Z,BUY,96.764,3398.0
2025-07-14T06:00:00.000000000Z,SELL,96.682,196762.0
2025-07-14T07:30:00.000000000Z,BUY,96.704,3354.0
2025-07-14T08:55:00.000000000Z,SELL,96.728,196810.0
2025-07-14T10:00:00.000000000Z,BUY,96.758,3294.0
2025-07-14T10:55:00.000000000Z,SELL,96.689,196672.0
2025-07-14T11:20:00.000000000Z,BUY,96.754,3164.0
2025-07-14T12:20:00.000000000Z,SELL,96.716,196596.0
2025-07-14T13:45:00.000000000Z,BUY,96.688,3220.0
2025-07-14T14:20:00.000000000Z,SELL,96.679,196578.0
2025-07-14T14:30:00.000000000Z,BUY,96.666,3246.0
2025-07-14T16:10:00.000000000Z,SELL,96.713,196672.0
2025-07-14T17:10:00.000000000Z,BUY,96.755,3162.0
2025-07-14T17:40:00.000000000Z,SELL,96.683,196528.0
2025-07-14T18:30:00.000000000Z,BUY,96.745,3038.0
2025-07-14T19:25:00.000000000Z,SELL,96.726,196490.0
2025-07-14T20:20:00.000000000Z,BUY,96.722,3046.0
2025-07-14T20:30:00.000000000Z,SELL,96.709,196464.0
2025-07-14T21:05:00.000000000Z,BUY,96.736,2992.0
2025-07-14T21:45:00.000000000Z,SELL,96.71,196412.0
2025-07-14T23:00:00.000000000Z,BUY,96.717,2978.0
2025-07-14T23:45:00.000000000Z,SELL,96.712,196402.0
2025-07-15T00:05:00.000000000Z,BUY,96.773,2856.0
2025-07-15T00:35:00.000000000Z,SELL,96.728,196312.0
2025-07-15T01:50:00.000000000Z,BUY,96.856,2600.0
2025-07-15T02:35:00.000000000Z,SELL,96.702,196004.0
2025-07-15T03:45:00.000000000Z,BUY,96.656,2692.0
2025-07-15T04:40:00.000000000Z,SELL,96.61,195912.0
2025-07-15T05:15:00.000000000Z,BUY,96.658,2596.0
2025-07-15T08:50:00.000000000Z,SELL,96.949,196494.0
2025-07-15T09:45:00.000000000Z,BUY,97.004,2486.0
2025-07-15T12:05:00.000000000Z,SELL,97.033,196552.0
2025-07-15T12:25:00.000000000Z,BUY,97.082,2388.0
2025-07-15T13:55:00.000000000Z,SELL,97.216,196820.0
2025-07-15T17:25:00.000000000Z,BUY,97.012,2796.0
2025-07-15T19:05:00.000000000Z,SELL,97.032,196860.0
2025-07-15T21:05:00.000000000Z,BUY,97.015,2830.0
2025-07-15T22:00:00.000000000Z,SELL,96.976,196782.0
2025-07-15T23:00:00.000000000Z,BUY,97.012,2758.0
2025-07-16T00:00:00.000000000Z,SELL,96.968,196694.0
2025-07-16T00:20:00.000000000Z,BUY,97.052,2590.0
2025-07-16T01:40:00.000000000Z,SELL,97.129,196848.0
2025-07-16T03:10:00.000000000Z,BUY,97.166,2516.0
2025-07-16T04:50:00.000000000Z,SELL,97.176,196868.0
2025-07-16T07:30:00.000000000Z,BUY,97.101,2666.0
2025-07-16T08:45:00.000000000Z,SELL,97.032,196730.0
2025-07-16T10:35:00.000000000Z,BUY,96.98,2770.0
2025-07-16T11:15:00.000000000Z,SELL,96.938,196646.0
2025-07-16T12:00:00.000000000Z,BUY,96.978,2690.0
2025-07-16T12:30:00.000000000Z,SELL,96.939,196568.0
2025-07-16T16:05:00.000000000Z,BUY,96.663,3242.0
2025-07-16T17:25:00.000000000Z,SELL,96.542,196326.0
2025-07-16T18:55:00.000000000Z,BUY,96.462,3402.0
2025-07-16T21:45:00.000000000Z,SELL,96.51,196422.0
2025-07-16T23:45:00.000000000Z,BUY,96.596,3230.0
2025-07-17T01:35:00.000000000Z,SELL,96.324,195878.0
2025-07-17T03:25:00.000000000Z,BUY,96.317,3244.0
2025-07-17T04:50:00.000000000Z,SELL,96.321,195886.0
2025-07-17T05:35:00.000000000Z,BUY,96.358,3170.0
2025-07-17T06:10:00.000000000Z,SELL,96.31,195790.0
2025-07-17T08:10:00.000000000Z,BUY,96.203,3384.0
2025-07-17T09:10:00.000000000Z,SELL,96.19,195764.0
2025-07-17T09:30:00.000000000Z,BUY,96.26,3244.0
2025-07-17T09:55:00.000000000Z,SELL,96.191,195626.0
2025-07-17T10:20:00.000000000Z,BUY,96.191,3244.0
2025-07-17T10:30:00.000000000Z,SELL,96.178,195600.0
2025-07-17T12:05:00.000000000Z,BUY,96.118,3364.0
2025-07-17T13:20:00.000000000Z,SELL,96.075,195514.0
2025-07-17T13:55:00.000000000Z,BUY,96.188,3138.0
2025-07-17T14:30:00.000000000Z,SELL,96.108,195354.0
2025-07-17T14:55:00.000000000Z,BUY,96.186,2982.0
2025-07-17T19:45:00.000000000Z,SELL,96.444,195870.0
2025-07-17T22:20:00.000000000Z,BUY,96.428,3014.0
2025-07-17T22:50:00.000000000Z,SELL,96.367,195748.0
2025-07-17T23:30:00.000000000Z,BUY,96.394,2960.0
2025-07-18T01:45:00.000000000Z,SELL,96.581,196122.0
2025-07-18T02:40:00.000000000Z,BUY,96.638,2846.0
2025-07-18T04:10:00.000000000Z,SELL,96.634,196114.0
2025-07-18T05:25:00.000000000Z,BUY,96.689,2736.0
2025-07-18T08:50:00.000000000Z,SELL,96.837,196410.0
2025-07-18T09:15:00.000000000Z,BUY,96.906,2598.0
2025-07-18T10:15:00.000000000Z,SELL,96.844,196286.0
2025-07-18T11:05:00.000000000Z,BUY,96.902,2482.0
2025-07-18T11:45:00.000000000Z,SELL,96.852,196186.0
2025-07-18T12:20:00.000000000Z,BUY,96.907,2372.0
2025-07-18T14:25:00.000000000Z,SELL,96.872,196116.0
2025-07-18T15:45:00.000000000Z,BUY,96.904,2308.0
2025-07-18T16:50:00.000000000Z,SELL,96.848,196004.0
2025-07-18T18:20:00.000000000Z,BUY,96.828,2348.0
2025-07-18T18:35:00.000000000Z,SELL,96.79,195928.0
2025-07-18T19:40:00.000000000Z,BUY,96.792,2344.0
2025-07-18T20:15:00.000000000Z,SELL,96.788,195920.0
2025-07-18T20:25:00.000000000Z,BUY,96.79,2340.0
2025-07-20T21:00:00.000000000Z,SELL,96.396,195132.0
2025-07-20T22:10:00.000000000Z,BUY,96.622,1888.0
2025-07-20T23:30:00.000000000Z,SELL,96.632,195152.0
2025-07-21T01:15:00.000000000Z,BUY,96.642,1868.0
2025-07-21T02:15:00.000000000Z,SELL,96.564,194996.0
2025-07-21T03:05:00.000000000Z,BUY,96.622,1752.0
2025-07-21T03:55:00.000000000Z,SELL,96.618,194988.0
2025-07-21T04:05:00.000000000Z,BUY,96.638,1712.0
2025-07-21T05:00:00.000000000Z,SELL,96.602,194916.0
2025-07-21T07:20:00.000000000Z,BUY,96.47,1976.0
2025-07-21T07:55:00.000000000Z,SELL,96.399,194774.0
2025-07-21T13:30:00.000000000Z,BUY,96.248,2278.0
2025-07-21T14:00:00.000000000Z,SELL,96.163,194604.0
2025-07-21T14:35:00.000000000Z,BUY,96.233,2138.0
2025-07-21T15:55:00.000000000Z,SELL,96.164,194466.0
2025-07-21T17:20:00.000000000Z,BUY,96.124,2218.0
2025-07-21T17:35:00.000000000Z,SELL,96.116,194450.0
2025-07-21T17:45:00.000000000Z,BUY,96.129,2192.0
2025-07-21T18:00:00.000000000Z,SELL,96.11,194412.0
2025-07-21T18:35:00.000000000Z,BUY,96.147,2118.0
2025-07-21T19:45:00.000000000Z,SELL,96.11,194338.0
2025-07-21T20:10:00.000000000Z,BUY,96.174,1990.0
2025-07-21T21:05:00.000000000Z,SELL,96.104,194198.0
2025-07-21T22:15:00.000000000Z,BUY,96.108,1982.0
2025-07-22T00:35:00.000000000Z,SELL,96.176,194334.0
2025-07-22T01:55:00.000000000Z,BUY,96.173,1988.0
2025-07-22T03:35:00.000000000Z,SELL,96.174,194336.0
2025-07-22T04:05:00.000000000Z,BUY,96.218,1900.0
2025-07-22T05:10:00.000000000Z,SELL,96.202,194304.0
2025-07-22T05:35:00.000000000Z,BUY,96.292,1720.0
2025-07-22T07:35:00.000000000Z,SELL,96.255,194230.0
2025-07-22T09:45:00.000000000Z,BUY,96.127,1976.0
2025-07-22T09:50:00.000000000Z,SELL,96.107,194190.0
2025-07-22T10:20:00.000000000Z,BUY,96.098,1994.0
2025-07-22T10:30:00.000000000Z,SELL,96.074,194142.0
2025-07-22T14:50:00.000000000Z,BUY,95.802,2538.0
2025-07-22T21:25:00.000000000Z,SELL,96.095,194728.0
2025-07-22T22:20:00.000000000Z,BUY,96.114,2500.0
2025-07-22T23:10:00.000000000Z,SELL,95.963,194426.0
2025-07-22T23:20:00.000000000Z,BUY,96.192,2042.0
2025-07-23T00:15:00.000000000Z,SELL,95.968,193978.0
2025-07-23T01:10:00.000000000Z,BUY,96.134,1710.0
2025-07-23T06:25:00.000000000Z,SELL,96.448,194606.0
2025-07-23T07:45:00.000000000Z,BUY,96.533,1540.0
2025-07-23T09:20:00.000000000Z,SELL,96.526,194592.0
2025-07-23T10:40:00.000000000Z,BUY,96.554,1484.0
2025-07-23T11:05:00.000000000Z,SELL,96.394,194272.0
2025-07-23T11:40:00.000000000Z,BUY,96.473,1326.0
2025-07-23T11:50:00.000000000Z,SELL,96.478,194282.0
2025-07-23T12:10:00.000000000Z,BUY,96.504,1274.0
2025-07-23T13:55:00.000000000Z,SELL,96.516,194306.0
2025-07-23T15:55:00.000000000Z,BUY,96.577,1152.0
2025-07-23T20:35:00.000000000Z,SELL,96.708,194568.0
2025-07-23T20:50:00.000000000Z,BUY,96.742,1084.0
2025-07-23T21:15:00.000000000Z,SELL,96.692,194468.0
2025-07-23T22:15:00.000000000Z,BUY,96.678,1112.0
2025-07-23T23:15:00.000000000Z,SELL,96.631,194374.0
2025-07-24T00:50:00.000000000Z,BUY,96.648,1078.0
2025-07-24T01:15:00.000000000Z,SELL,96.512,194102.0
2025-07-24T02:30:00.000000000Z,BUY,96.555,992.0
2025-07-24T04:00:00.000000000Z,SELL,96.563,194118.0
2025-07-24T04:15:00.000000000Z,BUY,96.604,910.0
2025-07-24T04:20:00.000000000Z,SELL,96.576,194062.0
2025-07-24T04:25:00.000000000Z,BUY,96.596,870.0
2025-07-24T04:30:00.000000000Z,SELL,96.611,194092.0
2025-07-24T04:35:00.000000000Z,BUY,96.608,876.0
2025-07-24T04:40:00.000000000Z,SELL,96.63,194136.0
2025-07-24T04:45:00.000000000Z,BUY,96.649,838.0
2025-07-24T07:10:00.000000000Z,SELL,96.691,194220.0
2025-07-24T07:40:00.000000000Z,BUY,96.784,652.0
2025-07-24T10:15:00.000000000Z,SELL,96.98,194612.0
2025-07-24T11:40:00.000000000Z,BUY,96.925,762.0
2025-07-24T13:30:00.000000000Z,SELL,96.876,194514.0
2025-07-24T14:35:00.000000000Z,BUY,96.97,574.0
2025-07-24T15:45:00.000000000Z,SELL,96.928,194430.0
2025-07-24T17:50:00.000000000Z,BUY,96.9,630.0
2025-07-24T19:50:00.000000000Z,SELL,96.893,194416.0
2025-07-24T21:05:00.000000000Z,BUY,96.928,560.0
2025-07-24T23:15:00.000000000Z,SELL,96.931,194422.0
2025-07-24T23:40:00.000000000Z,BUY,96.946,530.0
2025-07-24T23:50:00.000000000Z,SELL,96.934,194398.0
2025-07-25T00:00:00.000000000Z,BUY,97.042,314.0
2025-07-25T02:05:00.000000000Z,SELL,97.075,194464.0
2025-07-25T07:00:00.000000000Z,BUY,96.799,866.0
2025-07-25T09:30:00.000000000Z,SELL,96.992,194850.0
2025-07-25T11:00:00.000000000Z,BUY,97.034,782.0
2025-07-25T12:00:00.000000000Z,SELL,96.974,194730.0
2025-07-25T12:50:00.000000000Z,BUY,97.015,700.0
2025-07-25T13:00:00.000000000Z,SELL,96.946,194592.0
2025-07-25T15:05:00.000000000Z,BUY,96.88,832.0
2025-07-25T15:15:00.000000000Z,SELL,96.87,194572.0
2025-07-25T16:05:00.000000000Z,BUY,96.86,852.0
2025-07-25T17:55:00.000000000Z,SELL,96.906,194664.0
2025-07-25T20:00:00.000000000Z,BUY,96.895,874.0
2025-07-27T22:25:00.000000000Z,SELL,97.026,194926.0
2025-07-27T22:50:00.000000000Z,BUY,97.131,664.0
2025-07-28T00:05:00.000000000Z,SELL,97.102,194868.0
2025-07-28T00:25:00.000000000Z,BUY,97.184,500.0
2025-07-28T01:10:00.000000000Z,SELL,97.14,194780.0
2025-07-28T02:10:00.000000000Z,BUY,97.214,352.0
2025-07-28T03:10:00.000000000Z,SELL,97.149,194650.0
2025-07-28T05:00:00.000000000Z,BUY,97.037,576.0
2025-07-28T05:35:00.000000000Z,SELL,96.99,194556.0
2025-07-28T05:55:00.000000000Z,BUY,97.052,452.0
2025-07-28T06:55:00.000000000Z,SELL,96.951,194354.0
2025-07-28T09:10:00.000000000Z,BUY,96.786,782.0
2025-07-28T11:30:00.000000000Z,SELL,96.806,194394.0
2025-07-28T14:10:00.000000000Z,BUY,96.7,994.0
2025-07-28T16:00:00.000000000Z,SELL,96.756,194506.0
2025-07-28T18:10:00.000000000Z,BUY,96.758,990.0
2025-07-28T21:10:00.000000000Z,SELL,96.798,194586.0
2025-07-28T21:45:00.000000000Z,BUY,96.906,774.0
2025-07-28T23:10:00.000000000Z,SELL,96.892,194558.0
2025-07-28T23:20:00.000000000Z,BUY,96.918,722.0
2025-07-28T23:50:00.000000000Z,SELL,96.872,194466.0
2025-07-29T01:15:00.000000000Z,BUY,96.894,678.0
2025-07-29T02:25:00.000000000Z,SELL,96.766,194210.0
2025-07-29T04:40:00.000000000Z,BUY,96.775,660.0
2025-07-29T05:20:00.000000000Z,SELL,96.706,194072.0
2025-07-29T07:30:00.000000000Z,BUY,96.679,714.0
2025-07-29T08:00:00.000000000Z,SELL,96.599,193912.0
2025-07-29T08:40:00.000000000Z,BUY,96.696,520.0
2025-07-29T10:10:00.000000000Z,SELL,96.754,194028.0
2025-07-29T13:20:00.000000000Z,BUY,96.664,700.0
2025-07-29T14:15:00.000000000Z,SELL,96.626,193952.0
2025-07-29T15:50:00.000000000Z,BUY,96.692,568.0
2025-07-29T17:35:00.000000000Z,SELL,96.681,193930.0
2025-07-29T18:05:00.000000000Z,BUY,96.698,534.0
2025-07-29T19:10:00.000000000Z,SELL,96.71,193954.0
2025-07-29T20:05:00.000000000Z,BUY,96.722,510.0
2025-07-29T20:35:00.000000000Z,SELL,96.702,193914.0
2025-07-29T21:20:00.000000000Z,BUY,96.698,518.0
2025-07-29T21:30:00.000000000Z,SELL,96.682,193882.0
2025-07-29T21:55:00.000000000Z,BUY,96.692,498.0
