Time,Signal,Price,Balance
2025-07-08T18:20:00.000000000Z,BUY,107.24,-7240.0
2025-07-08T18:40:00.000000000Z,SELL,107.21,207180.0
2025-07-08T18:55:00.000000000Z,BUY,107.234,-7288.0
2025-07-08T19:15:00.000000000Z,SELL,107.218,207148.0
2025-07-08T20:30:00.000000000Z,BUY,107.255,-7362.0
2025-07-08T21:45:00.000000000Z,SELL,107.258,207154.0
2025-07-08T22:00:00.000000000Z,BUY,107.304,-7454.0
2025-07-08T22:40:00.000000000Z,SELL,107.262,207070.0
2025-07-08T23:00:00.000000000Z,BUY,107.302,-7534.0
2025-07-09T00:40:00.000000000Z,SELL,107.379,207224.0
2025-07-09T01:10:00.000000000Z,BUY,107.462,-7700.0
2025-07-09T01:35:00.000000000Z,SELL,107.376,207052.0
2025-07-09T01:55:00.000000000Z,BUY,107.412,-7772.0
2025-07-09T04:00:00.000000000Z,SELL,107.482,207192.0
2025-07-09T04:20:00.000000000Z,BUY,107.508,-7824.0
2025-07-09T05:25:00.000000000Z,SELL,107.485,207146.0
2025-07-09T12:40:00.000000000Z,BUY,107.072,-6998.0
2025-07-09T12:45:00.000000000Z,SELL,107.07,207142.0
2025-07-09T15:20:00.000000000Z,BUY,106.958,-6774.0
2025-07-09T15:30:00.000000000Z,SELL,106.911,207048.0
2025-07-09T15:55:00.000000000Z,BUY,107.001,-6954.0
2025-07-09T16:10:00.000000000Z,SELL,106.88,206806.0
2025-07-09T18:10:00.000000000Z,BUY,106.876,-6946.0
2025-07-09T18:15:00.000000000Z,SELL,106.852,206758.0
2025-07-09T19:00:00.000000000Z,BUY,106.886,-7014.0
2025-07-09T19:10:00.000000000Z,SELL,106.832,206650.0
2025-07-09T19:35:00.000000000Z,BUY,106.884,-7118.0
2025-07-09T21:35:00.000000000Z,SELL,106.918,206718.0
2025-07-10T02:05:00.000000000Z,BUY,106.7,-6682.0
2025-07-10T05:00:00.000000000Z,SELL,106.904,207126.0
2025-07-10T05:05:00.000000000Z,BUY,106.935,-6744.0
2025-07-10T05:45:00.000000000Z,SELL,106.896,207048.0
2025-07-10T06:10:00.000000000Z,BUY,106.983,-6918.0
2025-07-10T08:45:00.000000000Z,SELL,107.014,207110.0
2025-07-10T11:15:00.000000000Z,BUY,106.944,-6778.0
2025-07-10T12:10:00.000000000Z,SELL,106.895,207012.0
2025-07-10T12:40:00.000000000Z,BUY,106.978,-6944.0
2025-07-10T13:40:00.000000000Z,SELL,106.921,206898.0
2025-07-10T14:00:00.000000000Z,BUY,107.028,-7158.0
2025-07-10T15:10:00.000000000Z,SELL,107.042,206926.0
2025-07-10T15:45:00.000000000Z,BUY,107.094,-7262.0
2025-07-10T16:05:00.000000000Z,SELL,107.064,206866.0
2025-07-10T16:20:00.000000000Z,BUY,107.091,-7316.0
2025-07-10T16:55:00.000000000Z,SELL,107.052,206788.0
2025-07-10T19:10:00.000000000Z,BUY,107.004,-7220.0
2025-07-10T21:25:00.000000000Z,SELL,107.072,206924.0
2025-07-10T21:35:00.000000000Z,BUY,107.07,-7216.0
2025-07-10T22:35:00.000000000Z,SELL,107.067,206918.0
2025-07-10T23:50:00.000000000Z,BUY,107.105,-7292.0
2025-07-11T00:15:00.000000000Z,SELL,106.802,206312.0
2025-07-11T01:05:00.000000000Z,BUY,107.14,-7968.0
2025-07-11T03:30:00.000000000Z,SELL,107.29,206612.0
2025-07-11T03:50:00.000000000Z,BUY,107.34,-8068.0
2025-07-11T05:20:00.000000000Z,SELL,107.248,206428.0
2025-07-11T07:35:00.000000000Z,BUY,107.258,-8088.0
2025-07-11T08:10:00.000000000Z,SELL,107.182,206276.0
2025-07-11T08:50:00.000000000Z,BUY,107.275,-8274.0
2025-07-11T10:25:00.000000000Z,SELL,107.254,206234.0
2025-07-11T11:25:00.000000000Z,BUY,107.338,-8442.0
2025-07-11T13:45:00.000000000Z,SELL,107.438,206434.0
2025-07-11T14:00:00.000000000Z,BUY,107.538,-8642.0
2025-07-11T19:35:00.000000000Z,SELL,107.818,206994.0
2025-07-13T22:25:00.000000000Z,BUY,107.516,-8038.0
2025-07-13T23:40:00.000000000Z,SELL,107.586,207134.0
2025-07-13T23:50:00.000000000Z,BUY,107.658,-8182.0
2025-07-13T23:55:00.000000000Z,SELL,107.622,207062.0
2025-07-14T02:00:00.000000000Z,BUY,107.457,-7852.0
2025-07-14T04:40:00.000000000Z,SELL,107.558,207264.0
2025-07-14T05:35:00.000000000Z,BUY,107.616,-7968.0
2025-07-14T06:15:00.000000000Z,SELL,107.586,207204.0
2025-07-14T06:20:00.000000000Z,BUY,107.631,-8058.0
2025-07-14T06:30:00.000000000Z,SELL,107.558,207058.0
2025-07-14T07:30:00.000000000Z,BUY,107.64,-8222.0
2025-07-14T09:00:00.000000000Z,SELL,107.676,207130.0
2025-07-14T09:50:00.000000000Z,BUY,107.678,-8226.0
2025-07-14T12:20:00.000000000Z,SELL,107.704,207182.0
2025-07-14T14:25:00.000000000Z,BUY,107.679,-8176.0
2025-07-14T17:05:00.000000000Z,SELL,107.828,207480.0
2025-07-14T18:30:00.000000000Z,BUY,107.832,-8184.0
2025-07-14T19:45:00.000000000Z,SELL,107.862,207540.0
2025-07-14T20:00:00.000000000Z,BUY,107.872,-8204.0
2025-07-14T20:35:00.000000000Z,SELL,107.834,207464.0
2025-07-14T22:30:00.000000000Z,BUY,107.822,-8180.0
