Time,Signal,Price,Balance
2025-07-08T19:35:00.000000000Z,SELL,1.17212,101172.12
2025-07-08T20:10:00.000000000Z,BUY,1.17281,98826.5
2025-07-08T21:05:00.000000000Z,SELL,1.17214,101170.78
2025-07-08T22:10:00.000000000Z,BUY,1.17258,98825.62
2025-07-08T23:30:00.000000000Z,SELL,1.17254,101170.69999999998
2025-07-09T00:55:00.000000000Z,BUY,1.17246,98825.77999999997
2025-07-09T01:10:00.000000000Z,SELL,1.17197,101169.71999999997
2025-07-09T01:35:00.000000000Z,BUY,1.17241,98824.89999999997
2025-07-09T01:55:00.000000000Z,SELL,1.17206,101169.01999999996
2025-07-09T04:35:00.000000000Z,BUY,1.17084,98827.33999999997
2025-07-09T07:40:00.000000000Z,SELL,1.17103,101169.39999999997
2025-07-09T08:40:00.000000000Z,BUY,1.17178,98825.83999999997
2025-07-09T09:30:00.000000000Z,SELL,1.1709,101167.63999999996
2025-07-09T10:05:00.000000000Z,BUY,1.1716,98824.43999999994
2025-07-09T10:30:00.000000000Z,SELL,1.17098,101166.39999999994
2025-07-09T12:20:00.000000000Z,BUY,1.17073,98824.93999999994
2025-07-09T13:50:00.000000000Z,SELL,1.17039,101165.71999999994
2025-07-09T14:20:00.000000000Z,BUY,1.17232,98821.07999999993
2025-07-09T15:15:00.000000000Z,SELL,1.17096,101162.99999999994
2025-07-09T17:10:00.000000000Z,BUY,1.17088,98821.23999999993
2025-07-09T20:20:00.000000000Z,SELL,1.17122,101163.67999999993
2025-07-09T20:55:00.000000000Z,BUY,1.17218,98819.31999999995
2025-07-10T01:20:00.000000000Z,SELL,1.17383,101166.97999999995
2025-07-10T02:20:00.000000000Z,BUY,1.17414,98818.69999999995
2025-07-10T02:45:00.000000000Z,SELL,1.17378,101166.25999999995
2025-07-10T04:55:00.000000000Z,BUY,1.1735,98819.25999999995
2025-07-10T06:35:00.000000000Z,SELL,1.17322,101165.69999999995
2025-07-10T09:20:00.000000000Z,BUY,1.17308,98819.53999999995
2025-07-10T10:15:00.000000000Z,SELL,1.17296,101165.45999999996
2025-07-10T10:25:00.000000000Z,BUY,1.17337,98818.71999999997
2025-07-10T10:50:00.000000000Z,SELL,1.1729,101164.51999999996
2025-07-10T13:15:00.000000000Z,BUY,1.17082,98822.87999999995
2025-07-10T13:25:00.000000000Z,SELL,1.17011,101163.09999999995
2025-07-10T15:20:00.000000000Z,BUY,1.16878,98825.53999999995
2025-07-10T15:45:00.000000000Z,SELL,1.16841,101162.35999999996
2025-07-10T15:50:00.000000000Z,BUY,1.16856,98825.23999999996
2025-07-10T17:40:00.000000000Z,SELL,1.16876,101162.75999999995
2025-07-10T17:45:00.000000000Z,BUY,1.16894,98824.87999999995
2025-07-10T18:50:00.000000000Z,SELL,1.1691,101163.07999999996
2025-07-10T18:55:00.000000000Z,BUY,1.16923,98824.61999999997
2025-07-10T23:35:00.000000000Z,SELL,1.17034,101165.29999999996
2025-07-11T01:35:00.000000000Z,BUY,1.16826,98828.77999999997
2025-07-11T02:15:00.000000000Z,SELL,1.16746,101163.69999999998
2025-07-11T03:20:00.000000000Z,BUY,1.16793,98827.84
2025-07-11T04:25:00.000000000Z,SELL,1.167,101161.84
2025-07-11T05:15:00.000000000Z,BUY,1.16809,98825.66
2025-07-11T06:05:00.000000000Z,SELL,1.16763,101160.92000000001
2025-07-11T06:35:00.000000000Z,BUY,1.16795,98825.02000000002
2025-07-11T08:10:00.000000000Z,SELL,1.16896,101162.94000000003
2025-07-11T08:15:00.000000000Z,BUY,1.16907,98824.80000000002
2025-07-11T08:20:00.000000000Z,SELL,1.16874,101162.28000000003
2025-07-11T09:40:00.000000000Z,BUY,1.16916,98823.96000000002
2025-07-11T10:50:00.000000000Z,SELL,1.16924,101162.44000000003
2025-07-11T10:55:00.000000000Z,BUY,1.16927,98823.90000000002
2025-07-11T11:30:00.000000000Z,SELL,1.16919,101162.28000000003
2025-07-11T12:40:00.000000000Z,BUY,1.16896,98824.36000000002
2025-07-11T12:55:00.000000000Z,SELL,1.16886,101162.08000000002
2025-07-11T13:20:00.000000000Z,BUY,1.1695,98823.08000000002
2025-07-11T14:05:00.000000000Z,SELL,1.1687,101160.48000000001
2025-07-11T15:00:00.000000000Z,BUY,1.1692,98822.08000000002
2025-07-11T16:15:00.000000000Z,SELL,1.16937,101160.82
2025-07-11T17:45:00.000000000Z,BUY,1.1693,98822.22
2025-07-11T18:25:00.000000000Z,SELL,1.16909,101160.4
2025-07-11T18:30:00.000000000Z,BUY,1.16928,98821.84
2025-07-11T18:45:00.000000000Z,SELL,1.16924,101160.32
2025-07-11T18:50:00.000000000Z,BUY,1.16921,98821.9
2025-07-11T18:55:00.000000000Z,SELL,1.16885,101159.6
2025-07-11T20:55:00.000000000Z,BUY,1.16911,98821.38
2025-07-13T21:00:00.000000000Z,SELL,1.16702,101155.42000000001
2025-07-13T22:15:00.000000000Z,BUY,1.16727,98820.88
2025-07-13T22:25:00.000000000Z,SELL,1.1668,101154.48000000001
2025-07-13T22:35:00.000000000Z,BUY,1.16707,98820.34
2025-07-13T22:40:00.000000000Z,SELL,1.1669,101154.13999999998
2025-07-13T22:50:00.000000000Z,BUY,1.1669,98820.34
2025-07-13T22:55:00.000000000Z,SELL,1.16649,101153.32
2025-07-13T23:25:00.000000000Z,BUY,1.16768,98817.96000000002
2025-07-14T01:55:00.000000000Z,SELL,1.16846,101154.88000000003
2025-07-14T03:50:00.000000000Z,BUY,1.16803,98818.82000000004
2025-07-14T04:30:00.000000000Z,SELL,1.16775,101154.32000000004
2025-07-14T04:45:00.000000000Z,BUY,1.16794,98818.44000000003
2025-07-14T04:55:00.000000000Z,SELL,1.16748,101153.40000000002
2025-07-14T07:05:00.000000000Z,BUY,1.1669,98819.60000000003
2025-07-14T09:00:00.000000000Z,SELL,1.16797,101155.54000000004
2025-07-14T09:30:00.000000000Z,BUY,1.16896,98817.62000000002
2025-07-14T10:50:00.000000000Z,SELL,1.16884,101155.30000000002
2025-07-14T10:55:00.000000000Z,BUY,1.16948,98816.34000000003
2025-07-14T11:45:00.000000000Z,SELL,1.16898,101154.30000000002
2025-07-14T14:10:00.000000000Z,BUY,1.1684,98817.50000000003
2025-07-14T15:05:00.000000000Z,SELL,1.16826,101154.02000000002
2025-07-14T15:30:00.000000000Z,BUY,1.16904,98815.94000000003
2025-07-14T15:50:00.000000000Z,SELL,1.16709,101150.12000000002
2025-07-14T18:05:00.000000000Z,BUY,1.16636,98817.40000000002
2025-07-14T19:35:00.000000000Z,SELL,1.16672,101150.84000000003
2025-07-14T22:05:00.000000000Z,BUY,1.16661,98817.62000000002
2025-07-14T23:10:00.000000000Z,SELL,1.16632,101150.26000000004
2025-07-14T23:55:00.000000000Z,BUY,1.16654,98817.18000000005
2025-07-15T01:10:00.000000000Z,SELL,1.16689,101150.96000000005
2025-07-15T02:25:00.000000000Z,BUY,1.1672,98816.56000000006
2025-07-15T04:35:00.000000000Z,SELL,1.16742,101151.40000000005
2025-07-15T05:00:00.000000000Z,BUY,1.16785,98815.70000000004
2025-07-15T06:40:00.000000000Z,SELL,1.16828,101152.26000000004
2025-07-15T07:35:00.000000000Z,BUY,1.16914,98813.98000000004
2025-07-15T08:45:00.000000000Z,SELL,1.16858,101151.14000000004
2025-07-15T09:10:00.000000000Z,BUY,1.16892,98813.30000000005
2025-07-15T09:15:00.000000000Z,SELL,1.16852,101150.34000000005
2025-07-15T12:40:00.000000000Z,BUY,1.16696,98816.42000000004
2025-07-15T13:20:00.000000000Z,SELL,1.16666,101149.74000000005
2025-07-15T18:05:00.000000000Z,BUY,1.16006,98829.62000000005
2025-07-15T19:40:00.000000000Z,SELL,1.1601,101149.82000000007
2025-07-15T20:05:00.000000000Z,BUY,1.1603,98829.22000000006
2025-07-15T20:50:00.000000000Z,SELL,1.16008,101149.38000000006
2025-07-15T22:05:00.000000000Z,BUY,1.16014,98829.10000000006
2025-07-16T00:20:00.000000000Z,SELL,1.16032,101149.74000000008
2025-07-16T00:35:00.000000000Z,BUY,1.16108,98827.58000000007
2025-07-16T02:15:00.000000000Z,SELL,1.16109,101149.76000000007
2025-07-16T03:15:00.000000000Z,BUY,1.16148,98826.80000000008
2025-07-16T03:50:00.000000000Z,SELL,1.16096,101148.72000000009
2025-07-16T04:10:00.000000000Z,BUY,1.16124,98826.24000000008
2025-07-16T07:35:00.000000000Z,SELL,1.16166,101149.56000000008
2025-07-16T08:30:00.000000000Z,BUY,1.16222,98825.12000000008
2025-07-16T09:20:00.000000000Z,SELL,1.16184,101148.80000000008
2025-07-16T10:50:00.000000000Z,BUY,1.16174,98825.32000000007
2025-07-16T11:25:00.000000000Z,SELL,1.16102,101147.36000000007
2025-07-16T12:50:00.000000000Z,BUY,1.16036,98826.64000000007
2025-07-16T13:00:00.000000000Z,SELL,1.16026,101147.16000000006
2025-07-16T14:55:00.000000000Z,BUY,1.15928,98828.60000000006
2025-07-16T16:15:00.000000000Z,SELL,1.16386,101156.32000000007
2025-07-16T17:15:00.000000000Z,BUY,1.1655,98825.32000000007
2025-07-16T18:05:00.000000000Z,SELL,1.16362,101152.56000000006
2025-07-16T19:55:00.000000000Z,BUY,1.1636,98825.36000000004
2025-07-16T21:30:00.000000000Z,SELL,1.16378,101152.92000000004
2025-07-16T22:10:00.000000000Z,BUY,1.16423,98824.46000000005
2025-07-16T22:35:00.000000000Z,SELL,1.16369,101151.84000000005
