Time,Signal,Price,Balance
2025-07-08T18:30:00.000000000Z,SELL,88.017,188017.0
2025-07-08T20:55:00.000000000Z,BUY,87.896,12225.0
2025-07-08T21:45:00.000000000Z,SELL,87.886,187997.0
2025-07-08T22:10:00.000000000Z,BUY,87.942,12113.0
2025-07-09T00:15:00.000000000Z,SELL,87.952,188017.0
2025-07-09T01:10:00.000000000Z,BUY,88.006,12005.0
2025-07-09T02:45:00.000000000Z,SELL,87.946,187897.0
2025-07-09T03:55:00.000000000Z,BUY,88.048,11801.0
2025-07-09T05:50:00.000000000Z,SELL,88.198,188197.0
2025-07-09T07:00:00.000000000Z,BUY,88.214,11769.0
2025-07-09T07:15:00.000000000Z,SELL,88.128,188025.0
2025-07-09T08:50:00.000000000Z,BUY,87.997,12031.0
2025-07-09T09:00:00.000000000Z,SELL,87.962,187955.0
2025-07-09T13:15:00.000000000Z,BUY,87.835,12285.0
2025-07-09T14:35:00.000000000Z,SELL,87.792,187869.0
2025-07-09T16:05:00.000000000Z,BUY,87.78,12309.0
2025-07-09T16:10:00.000000000Z,SELL,87.734,187777.0
2025-07-09T17:15:00.000000000Z,BUY,87.805,12167.0
2025-07-09T17:45:00.000000000Z,SELL,87.75,187667.0
2025-07-09T18:20:00.000000000Z,BUY,87.787,12093.0
2025-07-09T20:35:00.000000000Z,SELL,87.78,187653.0
2025-07-09T21:10:00.000000000Z,BUY,87.858,11937.0
2025-07-09T21:45:00.000000000Z,SELL,87.78,187497.0
2025-07-10T02:00:00.000000000Z,BUY,87.686,12125.0
2025-07-10T04:15:00.000000000Z,SELL,87.812,187749.0
2025-07-10T04:35:00.000000000Z,BUY,87.848,12053.0
2025-07-10T08:40:00.000000000Z,SELL,88.001,188055.0
2025-07-10T09:05:00.000000000Z,BUY,88.039,11977.0
2025-07-10T10:00:00.000000000Z,SELL,87.988,187953.0
2025-07-10T10:30:00.000000000Z,BUY,88.019,11915.0
2025-07-10T10:35:00.000000000Z,SELL,88.028,187971.0
2025-07-10T11:20:00.000000000Z,BUY,88.034,11903.0
2025-07-10T11:50:00.000000000Z,SELL,87.96,187823.0
2025-07-10T13:10:00.000000000Z,BUY,87.975,11873.0
2025-07-10T13:20:00.000000000Z,SELL,87.93,187733.0
2025-07-10T14:10:00.000000000Z,BUY,87.994,11745.0
2025-07-10T17:15:00.000000000Z,SELL,88.179,188103.0
2025-07-10T18:45:00.000000000Z,BUY,88.17,11763.0
2025-07-11T00:15:00.000000000Z,SELL,88.137,188037.0
2025-07-11T01:15:00.000000000Z,BUY,88.293,11451.0
2025-07-11T02:50:00.000000000Z,SELL,88.492,188435.0
2025-07-11T04:05:00.000000000Z,BUY,88.487,11461.0
2025-07-11T04:35:00.000000000Z,SELL,88.438,188337.0
2025-07-11T07:05:00.000000000Z,BUY,88.396,11545.0
2025-07-11T08:15:00.000000000Z,SELL,88.33,188205.0
2025-07-11T09:20:00.000000000Z,BUY,88.422,11361.0
2025-07-11T10:40:00.000000000Z,SELL,88.388,188137.0
2025-07-11T11:50:00.000000000Z,BUY,88.44,11257.0
2025-07-11T12:05:00.000000000Z,SELL,88.345,187947.0
2025-07-11T12:50:00.000000000Z,BUY,88.399,11149.0
2025-07-11T15:00:00.000000000Z,SELL,88.515,188179.0
2025-07-11T15:15:00.000000000Z,BUY,88.543,11093.0
2025-07-11T15:35:00.000000000Z,SELL,88.525,188143.0
2025-07-11T16:40:00.000000000Z,BUY,88.53,11083.0
2025-07-11T19:20:00.000000000Z,SELL,88.58,188243.0
2025-07-11T20:55:00.000000000Z,BUY,88.564,11115.0
2025-07-13T21:00:00.000000000Z,SELL,88.36,187835.0
2025-07-13T22:35:00.000000000Z,BUY,88.434,10967.0
2025-07-13T23:35:00.000000000Z,SELL,88.409,187785.0
2025-07-13T23:50:00.000000000Z,BUY,88.498,10789.0
2025-07-14T00:45:00.000000000Z,SELL,88.368,187525.0
2025-07-14T02:30:00.000000000Z,BUY,88.122,11281.0
2025-07-14T04:35:00.000000000Z,SELL,88.138,187557.0
2025-07-14T05:25:00.000000000Z,BUY,88.209,11139.0
2025-07-14T06:05:00.000000000Z,SELL,88.178,187495.0
2025-07-14T07:35:00.000000000Z,BUY,88.182,11131.0
2025-07-14T09:00:00.000000000Z,SELL,88.195,187521.0
2025-07-14T10:00:00.000000000Z,BUY,88.248,11025.0
2025-07-14T10:55:00.000000000Z,SELL,88.224,187473.0
2025-07-14T11:10:00.000000000Z,BUY,88.275,10923.0
2025-07-14T12:15:00.000000000Z,SELL,88.228,187379.0
2025-07-14T13:45:00.000000000Z,BUY,88.204,10971.0
2025-07-14T14:15:00.000000000Z,SELL,88.174,187319.0
2025-07-14T15:10:00.000000000Z,BUY,88.227,10865.0
2025-07-14T16:10:00.000000000Z,SELL,88.196,187257.0
2025-07-14T17:00:00.000000000Z,BUY,88.266,10725.0
2025-07-14T17:50:00.000000000Z,SELL,88.242,187209.0
2025-07-14T18:05:00.000000000Z,BUY,88.254,10701.0
2025-07-14T18:25:00.000000000Z,SELL,88.256,187213.0
2025-07-14T18:30:00.000000000Z,BUY,88.286,10641.0
2025-07-14T19:25:00.000000000Z,SELL,88.252,187145.0
2025-07-14T20:20:00.000000000Z,BUY,88.264,10617.0
2025-07-14T20:30:00.000000000Z,SELL,88.253,187123.0
2025-07-14T21:35:00.000000000Z,BUY,88.25,10623.0
2025-07-14T21:50:00.000000000Z,SELL,88.247,187117.0
2025-07-14T22:30:00.000000000Z,BUY,88.256,10605.0
2025-07-14T23:50:00.000000000Z,SELL,88.25,187105.0
2025-07-15T00:05:00.000000000Z,BUY,88.328,10449.0
2025-07-15T00:35:00.000000000Z,SELL,88.279,187007.0
2025-07-15T01:40:00.000000000Z,BUY,88.316,10375.0
2025-07-15T02:35:00.000000000Z,SELL,88.306,186987.0
2025-07-15T03:55:00.000000000Z,BUY,88.268,10451.0
2025-07-15T04:55:00.000000000Z,SELL,88.255,186961.0
2025-07-15T05:15:00.000000000Z,BUY,88.278,10405.0
2025-07-15T08:55:00.000000000Z,SELL,88.545,187495.0
2025-07-15T09:45:00.000000000Z,BUY,88.599,10297.0
2025-07-15T11:55:00.000000000Z,SELL,88.638,187573.0
2025-07-15T12:25:00.000000000Z,BUY,88.662,10249.0
2025-07-15T13:50:00.000000000Z,SELL,88.676,187601.0
2025-07-15T17:20:00.000000000Z,BUY,88.528,10545.0
2025-07-15T19:05:00.000000000Z,SELL,88.538,187621.0
2025-07-15T21:00:00.000000000Z,BUY,88.553,10515.0
2025-07-15T22:20:00.000000000Z,SELL,88.502,187519.0
2025-07-15T22:55:00.000000000Z,BUY,88.536,10447.0
2025-07-16T01:35:00.000000000Z,SELL,88.618,187683.0
2025-07-16T03:20:00.000000000Z,BUY,88.589,10505.0
2025-07-16T04:55:00.000000000Z,SELL,88.614,187733.0
2025-07-16T07:50:00.000000000Z,BUY,88.502,10729.0
2025-07-16T08:20:00.000000000Z,SELL,88.454,187637.0
2025-07-16T10:40:00.000000000Z,BUY,88.352,10933.0
2025-07-16T12:20:00.000000000Z,SELL,88.354,187641.0
2025-07-16T16:05:00.000000000Z,BUY,88.034,11573.0
2025-07-16T17:25:00.000000000Z,SELL,87.95,187473.0
2025-07-16T19:00:00.000000000Z,BUY,87.854,11765.0
2025-07-16T22:00:00.000000000Z,SELL,87.892,187549.0
2025-07-16T23:40:00.000000000Z,BUY,87.989,11571.0
2025-07-17T01:45:00.000000000Z,SELL,88.041,187653.0
2025-07-17T03:30:00.000000000Z,BUY,87.978,11697.0
2025-07-17T04:45:00.000000000Z,SELL,87.991,187679.0
2025-07-17T05:05:00.000000000Z,BUY,88.019,11641.0
2025-07-17T06:10:00.000000000Z,SELL,87.986,187613.0
2025-07-17T07:55:00.000000000Z,BUY,87.97,11673.0
2025-07-17T10:00:00.000000000Z,SELL,88.058,187789.0
2025-07-17T12:15:00.000000000Z,BUY,87.978,11833.0
2025-07-17T13:15:00.000000000Z,SELL,87.898,187629.0
2025-07-17T14:00:00.000000000Z,BUY,88.004,11621.0
2025-07-17T14:25:00.000000000Z,SELL,87.868,187357.0
2025-07-17T15:05:00.000000000Z,BUY,87.986,11385.0
2025-07-17T16:45:00.000000000Z,SELL,88.041,187467.0
2025-07-17T17:25:00.000000000Z,BUY,88.053,11361.0
2025-07-17T19:50:00.000000000Z,SELL,88.098,187557.0
2025-07-17T20:50:00.000000000Z,BUY,88.138,11281.0
2025-07-17T22:10:00.000000000Z,SELL,88.116,187513.0
2025-07-17T23:20:00.000000000Z,BUY,88.168,11177.0
2025-07-18T02:10:00.000000000Z,SELL,88.427,188031.0
2025-07-18T02:40:00.000000000Z,BUY,88.498,11035.0
2025-07-18T04:10:00.000000000Z,SELL,88.508,188051.0
2025-07-18T05:40:00.000000000Z,BUY,88.52,11011.0
2025-07-18T08:50:00.000000000Z,SELL,88.622,188255.0
2025-07-18T09:15:00.000000000Z,BUY,88.684,10887.0
2025-07-18T10:20:00.000000000Z,SELL,88.634,188155.0
2025-07-18T10:45:00.000000000Z,BUY,88.726,10703.0
2025-07-18T12:35:00.000000000Z,SELL,88.73,188163.0
2025-07-18T12:40:00.000000000Z,BUY,88.712,10739.0
2025-07-18T14:30:00.000000000Z,SELL,88.742,188223.0
2025-07-18T15:40:00.000000000Z,BUY,88.753,10717.0
2025-07-18T16:50:00.000000000Z,SELL,88.712,188141.0
2025-07-18T18:20:00.000000000Z,BUY,88.711,10719.0
2025-07-18T18:55:00.000000000Z,SELL,88.688,188095.0
2025-07-18T19:50:00.000000000Z,BUY,88.696,10703.0
2025-07-18T19:55:00.000000000Z,SELL,88.678,188059.0
2025-07-18T20:45:00.000000000Z,BUY,88.698,10663.0
2025-07-20T21:00:00.000000000Z,SELL,88.36,187383.0
