Time,Signal,Price,Balance
2025-07-08T21:10:00.000000000Z,BUY,146.582,-46582.0
2025-07-08T21:25:00.000000000Z,SELL,146.546,246510.0
2025-07-08T22:00:00.000000000Z,BUY,146.6,-46690.0
2025-07-09T00:55:00.000000000Z,SELL,146.791,246892.0
2025-07-09T01:10:00.000000000Z,BUY,146.94,-46988.0
2025-07-09T01:30:00.000000000Z,SELL,146.778,246568.0
2025-07-09T01:55:00.000000000Z,BUY,146.864,-47160.0
2025-07-09T04:40:00.000000000Z,SELL,147.087,247014.0
2025-07-09T06:20:00.000000000Z,BUY,146.996,-46978.0
2025-07-09T06:35:00.000000000Z,SELL,146.915,246852.0
2025-07-09T10:40:00.000000000Z,BUY,146.654,-46456.0
2025-07-09T12:25:00.000000000Z,SELL,146.696,246936.0
2025-07-09T14:55:00.000000000Z,BUY,146.468,-46000.0
2025-07-09T16:10:00.000000000Z,SELL,146.392,246784.0
2025-07-09T18:50:00.000000000Z,BUY,146.332,-45880.0
2025-07-09T19:30:00.000000000Z,SELL,146.313,246746.0
2025-07-09T20:05:00.000000000Z,BUY,146.388,-46030.0
2025-07-09T21:00:00.000000000Z,SELL,146.359,246688.0
2025-07-10T02:00:00.000000000Z,BUY,145.966,-45244.0
2025-07-10T05:00:00.000000000Z,SELL,146.252,247260.0
2025-07-10T05:10:00.000000000Z,BUY,146.292,-45324.0
2025-07-10T05:35:00.000000000Z,SELL,146.21,247096.0
2025-07-10T06:30:00.000000000Z,BUY,146.314,-45532.0
2025-07-10T06:55:00.000000000Z,SELL,146.154,246776.0
2025-07-10T07:30:00.000000000Z,BUY,146.302,-45828.0
2025-07-10T09:20:00.000000000Z,SELL,146.292,246756.0
2025-07-10T11:20:00.000000000Z,BUY,146.2,-45644.0
2025-07-10T15:00:00.000000000Z,SELL,146.458,247272.0
2025-07-10T16:50:00.000000000Z,BUY,146.486,-45700.0
2025-07-10T16:55:00.000000000Z,SELL,146.466,247232.0
2025-07-10T20:50:00.000000000Z,BUY,146.248,-45264.0
2025-07-10T21:30:00.000000000Z,SELL,146.246,247228.0
