Time,Signal,Price,Balance
2025-07-08T18:25:00.000000000Z,SELL,3301.795,3401795.0
2025-07-08T19:45:00.000000000Z,BUY,3305.405,-3209015.0
2025-07-08T20:00:00.000000000Z,SELL,3302.58,3396145.0
2025-07-08T22:20:00.000000000Z,BUY,3301.86,-3207575.0
2025-07-08T22:25:00.000000000Z,SELL,3301.895,3396215.0
2025-07-08T23:10:00.000000000Z,BUY,3303.305,-3210395.0
2025-07-08T23:35:00.000000000Z,SELL,3300.305,3390215.0
2025-07-09T00:05:00.000000000Z,BUY,3306.0,-3221785.0
2025-07-09T01:25:00.000000000Z,SELL,3306.33,3390875.0
2025-07-09T01:30:00.000000000Z,BUY,3306.92,-3222965.0
2025-07-09T01:45:00.000000000Z,SELL,3300.12,3377275.0
2025-07-09T04:00:00.000000000Z,BUY,3293.11,-3208945.0
2025-07-09T05:30:00.000000000Z,SELL,3292.95,3376955.0
2025-07-09T07:00:00.000000000Z,BUY,3292.045,-3207135.0
2025-07-09T08:15:00.000000000Z,SELL,3286.805,3366475.0
2025-07-09T09:25:00.000000000Z,BUY,3288.21,-3209945.0
2025-07-09T11:25:00.000000000Z,SELL,3287.89,3365835.0
2025-07-09T12:20:00.000000000Z,BUY,3290.43,-3215025.0
2025-07-09T15:35:00.000000000Z,SELL,3306.5,3397975.0
2025-07-09T16:00:00.000000000Z,BUY,3308.585,-3219195.0
2025-07-09T17:40:00.000000000Z,SELL,3310.66,3402125.0
2025-07-09T18:30:00.000000000Z,BUY,3312.255,-3222385.0
2025-07-09T20:15:00.000000000Z,SELL,3312.97,3403555.0
2025-07-09T22:05:00.000000000Z,BUY,3316.605,-3229655.0
2025-07-09T23:20:00.000000000Z,SELL,3317.78,3405905.0
2025-07-10T00:20:00.000000000Z,BUY,3319.14,-3232375.0
2025-07-10T02:35:00.000000000Z,SELL,3321.29,3410205.0
2025-07-10T04:45:00.000000000Z,BUY,3319.67,-3229135.0
2025-07-10T07:45:00.000000000Z,SELL,3321.285,3413435.0
2025-07-10T08:45:00.000000000Z,BUY,3328.36,-3243285.0
2025-07-10T09:45:00.000000000Z,SELL,3325.31,3407335.0
2025-07-10T10:45:00.000000000Z,BUY,3326.47,-3245605.0
2025-07-10T11:50:00.000000000Z,SELL,3321.555,3397505.0
2025-07-10T12:55:00.000000000Z,BUY,3323.815,-3250125.0
2025-07-10T13:50:00.000000000Z,SELL,3317.355,3384585.0
2025-07-10T15:15:00.000000000Z,BUY,3318.53,-3252475.0
2025-07-10T16:20:00.000000000Z,SELL,3317.38,3382285.0
2025-07-10T17:20:00.000000000Z,BUY,3317.655,-3253025.0
2025-07-10T20:35:00.000000000Z,SELL,3324.52,3396015.0
2025-07-10T20:45:00.000000000Z,BUY,3324.555,-3253095.0
2025-07-10T20:50:00.000000000Z,SELL,3323.915,3394735.0
2025-07-10T22:00:00.000000000Z,BUY,3326.035,-3257335.0
2025-07-10T22:30:00.000000000Z,SELL,3324.01,3390685.0
2025-07-10T22:40:00.000000000Z,BUY,3324.595,-3258505.0
2025-07-10T22:50:00.000000000Z,SELL,3321.945,3385385.0
2025-07-10T23:30:00.000000000Z,BUY,3325.295,-3265205.0
2025-07-11T01:15:00.000000000Z,SELL,3326.17,3387135.0
2025-07-11T01:45:00.000000000Z,BUY,3330.845,-3274555.0
2025-07-11T02:00:00.000000000Z,SELL,3327.135,3379715.0
2025-07-11T02:20:00.000000000Z,BUY,3330.95,-3282185.0
2025-07-11T04:15:00.000000000Z,SELL,3333.765,3385345.0
2025-07-11T05:15:00.000000000Z,BUY,3334.57,-3283795.0
2025-07-11T06:55:00.000000000Z,SELL,3332.45,3381105.0
2025-07-11T07:50:00.000000000Z,BUY,3340.625,-3300145.0
2025-07-11T08:45:00.000000000Z,SELL,3339.275,3378405.0
2025-07-11T09:55:00.000000000Z,BUY,3339.495,-3300585.0
2025-07-11T14:00:00.000000000Z,SELL,3352.685,3404785.0
2025-07-11T14:35:00.000000000Z,BUY,3357.235,-3309685.0
2025-07-11T15:50:00.000000000Z,SELL,3359.055,3408425.0
2025-07-11T18:00:00.000000000Z,BUY,3355.43,-3302435.0
2025-07-11T20:05:00.000000000Z,SELL,3356.04,3409645.0
2025-07-13T22:00:00.000000000Z,BUY,3362.48,-3315315.0
2025-07-13T23:40:00.000000000Z,SELL,3367.96,3420605.0
2025-07-14T00:30:00.000000000Z,BUY,3371.34,-3322075.0
2025-07-14T01:05:00.000000000Z,SELL,3362.95,3403825.0
2025-07-14T03:10:00.000000000Z,BUY,3358.54,-3313255.0
2025-07-14T03:50:00.000000000Z,SELL,3355.925,3398595.0
2025-07-14T04:35:00.000000000Z,BUY,3361.34,-3324085.0
2025-07-14T05:30:00.000000000Z,SELL,3357.34,3390595.0
2025-07-14T06:15:00.000000000Z,BUY,3361.3,-3332005.0
2025-07-14T08:25:00.000000000Z,SELL,3367.63,3403255.0
2025-07-14T09:55:00.000000000Z,BUY,3370.33,-3337405.0
2025-07-14T11:20:00.000000000Z,SELL,3370.365,3403325.0
2025-07-14T13:40:00.000000000Z,BUY,3357.465,-3311605.0
2025-07-14T14:15:00.000000000Z,SELL,3350.475,3389345.0
2025-07-14T15:40:00.000000000Z,BUY,3348.44,-3307535.0
2025-07-14T16:00:00.000000000Z,SELL,3343.675,3379815.0
2025-07-14T16:25:00.000000000Z,BUY,3348.455,-3317095.0
2025-07-14T18:25:00.000000000Z,SELL,3349.225,3381355.0
2025-07-14T18:35:00.000000000Z,BUY,3350.17,-3318985.0
2025-07-14T18:40:00.000000000Z,SELL,3350.755,3382525.0
2025-07-14T22:35:00.000000000Z,BUY,3344.715,-3306905.0
2025-07-15T01:55:00.000000000Z,SELL,3346.735,3386565.0
2025-07-15T02:15:00.000000000Z,BUY,3350.63,-3314695.0
2025-07-15T06:10:00.000000000Z,SELL,3362.86,3411025.0
2025-07-15T07:25:00.000000000Z,BUY,3362.835,-3314645.0
2025-07-15T08:20:00.000000000Z,SELL,3357.66,3400675.0
2025-07-15T08:50:00.000000000Z,BUY,3363.5,-3326325.0
2025-07-15T09:30:00.000000000Z,SELL,3360.57,3394815.0
2025-07-15T09:40:00.000000000Z,BUY,3362.145,-3329475.0
2025-07-15T10:50:00.000000000Z,SELL,3362.09,3394705.0
2025-07-15T14:10:00.000000000Z,BUY,3347.1,-3299495.0
2025-07-15T15:15:00.000000000Z,SELL,3342.54,3385585.0
2025-07-15T17:00:00.000000000Z,BUY,3328.535,-3271485.0
2025-07-15T17:55:00.000000000Z,SELL,3328.185,3384885.0
2025-07-15T18:10:00.000000000Z,BUY,3328.76,-3272635.0
2025-07-15T18:15:00.000000000Z,SELL,3327.02,3381405.0
2025-07-15T18:45:00.000000000Z,BUY,3330.6,-3279795.0
2025-07-15T19:15:00.000000000Z,SELL,3328.165,3376535.0
2025-07-15T19:50:00.000000000Z,BUY,3330.435,-3284335.0
2025-07-15T20:35:00.000000000Z,SELL,3328.19,3372045.0
2025-07-15T23:10:00.000000000Z,BUY,3328.735,-3285425.0
2025-07-16T01:05:00.000000000Z,SELL,3330.47,3375515.0
2025-07-16T01:15:00.000000000Z,BUY,3333.055,-3290595.0
2025-07-16T02:00:00.000000000Z,SELL,3329.645,3368695.0
2025-07-16T03:20:00.000000000Z,BUY,3331.825,-3294955.0
2025-07-16T07:00:00.000000000Z,SELL,3338.245,3381535.0
2025-07-16T08:10:00.000000000Z,BUY,3340.235,-3298935.0
2025-07-16T09:30:00.000000000Z,SELL,3339.55,3380165.0
2025-07-16T11:45:00.000000000Z,BUY,3338.905,-3297645.0
2025-07-16T12:25:00.000000000Z,SELL,3334.385,3371125.0
2025-07-16T13:20:00.000000000Z,BUY,3338.825,-3306525.0
2025-07-16T13:30:00.000000000Z,SELL,3330.505,3354485.0
2025-07-16T14:55:00.000000000Z,BUY,3338.145,-3321805.0
2025-07-16T16:10:00.000000000Z,SELL,3354.345,3386885.0
2025-07-16T17:20:00.000000000Z,BUY,3351.84,-3316795.0
2025-07-16T18:40:00.000000000Z,SELL,3353.175,3389555.0
2025-07-16T20:20:00.000000000Z,BUY,3348.79,-3308025.0
2025-07-16T20:45:00.000000000Z,SELL,3347.89,3387755.0
2025-07-16T22:00:00.000000000Z,BUY,3350.97,-3314185.0
2025-07-16T23:00:00.000000000Z,SELL,3349.32,3384455.0
2025-07-17T01:55:00.000000000Z,BUY,3344.11,-3303765.0
2025-07-17T02:25:00.000000000Z,SELL,3339.885,3376005.0
2025-07-17T03:45:00.000000000Z,BUY,3341.885,-3307765.0
2025-07-17T04:15:00.000000000Z,SELL,3339.975,3372185.0
2025-07-17T04:30:00.000000000Z,BUY,3341.69,-3311195.0
2025-07-17T05:15:00.000000000Z,SELL,3339.165,3367135.0
2025-07-17T07:05:00.000000000Z,BUY,3335.675,-3304215.0
2025-07-17T07:20:00.000000000Z,SELL,3328.44,3352665.0
2025-07-17T08:30:00.000000000Z,BUY,3331.36,-3310055.0
2025-07-17T09:15:00.000000000Z,SELL,3330.705,3351355.0
2025-07-17T09:20:00.000000000Z,BUY,3332.16,-3312965.0
2025-07-17T09:40:00.000000000Z,SELL,3328.68,3344395.0
2025-07-17T10:35:00.000000000Z,BUY,3330.875,-3317355.0
2025-07-17T11:05:00.000000000Z,SELL,3328.04,3338725.0
2025-07-17T13:55:00.000000000Z,BUY,3319.16,-3299595.0
2025-07-17T17:45:00.000000000Z,SELL,3338.165,3376735.0
2025-07-17T18:50:00.000000000Z,BUY,3338.06,-3299385.0
2025-07-17T20:15:00.000000000Z,SELL,3339.425,3379465.0
2025-07-17T22:10:00.000000000Z,BUY,3339.9,-3300335.0
2025-07-17T23:50:00.000000000Z,SELL,3339.955,3379575.0
