time,open,high,low,close,volume
2025-07-08T17:20:00.000000000Z,95.854,95.864,95.819,95.84,769
2025-07-08T17:25:00.000000000Z,95.84,95.855,95.83,95.834,682
2025-07-08T17:30:00.000000000Z,95.837,95.857,95.782,95.785,659
2025-07-08T17:35:00.000000000Z,95.786,95.812,95.772,95.776,529
2025-07-08T17:40:00.000000000Z,95.776,95.809,95.768,95.804,560
2025-07-08T17:45:00.000000000Z,95.806,95.806,95.769,95.783,538
2025-07-08T17:50:00.000000000Z,95.781,95.82,95.774,95.812,511
2025-07-08T17:55:00.000000000Z,95.81,95.837,95.81,95.822,470
2025-07-08T18:00:00.000000000Z,95.822,95.831,95.778,95.785,661
2025-07-08T18:05:00.000000000Z,95.784,95.796,95.767,95.788,523
2025-07-08T18:10:00.000000000Z,95.788,95.822,95.784,95.818,324
2025-07-08T18:15:00.000000000Z,95.817,95.822,95.798,95.804,305
2025-07-08T18:20:00.000000000Z,95.804,95.804,95.774,95.784,296
2025-07-08T18:25:00.000000000Z,95.785,95.79,95.77,95.778,352
2025-07-08T18:30:00.000000000Z,95.778,95.779,95.754,95.772,443
2025-07-08T18:35:00.000000000Z,95.771,95.796,95.77,95.784,384
2025-07-08T18:40:00.000000000Z,95.782,95.786,95.747,95.762,360
2025-07-08T18:45:00.000000000Z,95.762,95.784,95.756,95.782,314
2025-07-08T18:50:00.000000000Z,95.782,95.8,95.772,95.787,415
2025-07-08T18:55:00.000000000Z,95.787,95.788,95.76,95.762,362
2025-07-08T19:00:00.000000000Z,95.765,95.772,95.739,95.76,375
2025-07-08T19:05:00.000000000Z,95.762,95.776,95.748,95.756,399
2025-07-08T19:10:00.000000000Z,95.757,95.757,95.718,95.726,426
2025-07-08T19:15:00.000000000Z,95.726,95.74,95.722,95.733,278
2025-07-08T19:20:00.000000000Z,95.732,95.74,95.718,95.724,366
2025-07-08T19:25:00.000000000Z,95.724,95.74,95.718,95.738,233
2025-07-08T19:30:00.000000000Z,95.738,95.743,95.72,95.725,360
2025-07-08T19:35:00.000000000Z,95.726,95.728,95.714,95.718,263
2025-07-08T19:40:00.000000000Z,95.715,95.728,95.715,95.72,250
2025-07-08T19:45:00.000000000Z,95.719,95.731,95.708,95.718,306
2025-07-08T19:50:00.000000000Z,95.72,95.724,95.684,95.696,292
2025-07-08T19:55:00.000000000Z,95.697,95.704,95.685,95.689,495
2025-07-08T20:00:00.000000000Z,95.689,95.7,95.67,95.686,578
2025-07-08T20:05:00.000000000Z,95.686,95.715,95.685,95.704,347
2025-07-08T20:10:00.000000000Z,95.704,95.706,95.68,95.69,414
2025-07-08T20:15:00.000000000Z,95.69,95.692,95.669,95.676,395
2025-07-08T20:20:00.000000000Z,95.672,95.682,95.667,95.676,272
2025-07-08T20:25:00.000000000Z,95.68,95.698,95.676,95.691,325
2025-07-08T20:30:00.000000000Z,95.694,95.694,95.677,95.685,384
2025-07-08T20:35:00.000000000Z,95.686,95.715,95.684,95.712,267
2025-07-08T20:40:00.000000000Z,95.708,95.716,95.706,95.706,258
2025-07-08T20:45:00.000000000Z,95.706,95.708,95.684,95.695,393
2025-07-08T20:50:00.000000000Z,95.693,95.712,95.688,95.704,377
2025-07-08T20:55:00.000000000Z,95.706,95.713,95.686,95.708,183
2025-07-08T21:00:00.000000000Z,95.713,95.713,95.713,95.713,1
2025-07-08T21:05:00.000000000Z,95.727,95.74,95.711,95.74,14
2025-07-08T21:10:00.000000000Z,95.74,95.748,95.732,95.747,92
2025-07-08T21:15:00.000000000Z,95.734,95.747,95.703,95.719,113
2025-07-08T21:20:00.000000000Z,95.716,95.716,95.714,95.716,20
2025-07-08T21:25:00.000000000Z,95.716,95.716,95.62,95.652,105
2025-07-08T21:30:00.000000000Z,95.652,95.656,95.638,95.638,30
2025-07-08T21:35:00.000000000Z,95.64,95.64,95.634,95.634,37
2025-07-08T21:40:00.000000000Z,95.636,95.638,95.634,95.636,35
2025-07-08T21:45:00.000000000Z,95.636,95.636,95.625,95.626,28
2025-07-08T21:50:00.000000000Z,95.625,95.672,95.622,95.668,162
2025-07-08T21:55:00.000000000Z,95.668,95.668,95.638,95.655,98
2025-07-08T22:00:00.000000000Z,95.656,95.7,95.652,95.697,220
2025-07-08T22:05:00.000000000Z,95.693,95.706,95.676,95.684,80
2025-07-08T22:10:00.000000000Z,95.69,95.704,95.682,95.694,96
2025-07-08T22:15:00.000000000Z,95.692,95.709,95.688,95.693,85
2025-07-08T22:20:00.000000000Z,95.692,95.7,95.684,95.691,114
2025-07-08T22:25:00.000000000Z,95.69,95.704,95.688,95.704,54
2025-07-08T22:30:00.000000000Z,95.703,95.731,95.703,95.722,76
2025-07-08T22:35:00.000000000Z,95.72,95.73,95.71,95.728,116
2025-07-08T22:40:00.000000000Z,95.728,95.743,95.706,95.712,121
2025-07-08T22:45:00.000000000Z,95.713,95.716,95.712,95.714,110
2025-07-08T22:50:00.000000000Z,95.716,95.738,95.714,95.723,207
2025-07-08T22:55:00.000000000Z,95.722,95.728,95.718,95.72,149
2025-07-08T23:00:00.000000000Z,95.72,95.754,95.72,95.754,161
2025-07-08T23:05:00.000000000Z,95.754,95.782,95.751,95.777,233
2025-07-08T23:10:00.000000000Z,95.774,95.813,95.77,95.813,213
2025-07-08T23:15:00.000000000Z,95.812,95.824,95.792,95.812,188
2025-07-08T23:20:00.000000000Z,95.811,95.816,95.778,95.798,255
2025-07-08T23:25:00.000000000Z,95.806,95.826,95.799,95.815,151
2025-07-08T23:30:00.000000000Z,95.814,95.826,95.804,95.805,294
2025-07-08T23:35:00.000000000Z,95.804,95.84,95.803,95.826,215
2025-07-08T23:40:00.000000000Z,95.826,95.861,95.82,95.86,352
2025-07-08T23:45:00.000000000Z,95.858,95.864,95.828,95.838,303
2025-07-08T23:50:00.000000000Z,95.838,95.86,95.83,95.844,358
2025-07-08T23:55:00.000000000Z,95.845,95.846,95.798,95.817,332
2025-07-09T00:00:00.000000000Z,95.821,95.838,95.771,95.788,782
2025-07-09T00:05:00.000000000Z,95.789,95.795,95.766,95.766,622
2025-07-09T00:10:00.000000000Z,95.767,95.79,95.737,95.76,717
2025-07-09T00:15:00.000000000Z,95.762,95.813,95.754,95.792,712
2025-07-09T00:20:00.000000000Z,95.792,95.821,95.78,95.798,438
2025-07-09T00:25:00.000000000Z,95.798,95.858,95.793,95.845,477
2025-07-09T00:30:00.000000000Z,95.842,95.876,95.834,95.846,532
2025-07-09T00:35:00.000000000Z,95.846,95.86,95.836,95.848,418
2025-07-09T00:40:00.000000000Z,95.848,95.866,95.839,95.857,397
2025-07-09T00:45:00.000000000Z,95.858,95.87,95.844,95.86,398
2025-07-09T00:50:00.000000000Z,95.856,95.864,95.813,95.846,640
2025-07-09T00:55:00.000000000Z,95.845,95.854,95.788,95.808,639
2025-07-09T01:00:00.000000000Z,95.809,95.846,95.808,95.832,565
2025-07-09T01:05:00.000000000Z,95.834,95.874,95.808,95.874,510
2025-07-09T01:10:00.000000000Z,95.874,95.916,95.864,95.886,655
2025-07-09T01:15:00.000000000Z,95.885,95.898,95.822,95.84,541
2025-07-09T01:20:00.000000000Z,95.841,95.85,95.812,95.833,755
2025-07-09T01:25:00.000000000Z,95.83,95.873,95.828,95.864,637
2025-07-09T01:30:00.000000000Z,95.864,95.896,95.784,95.896,763
2025-07-09T01:35:00.000000000Z,95.896,95.926,95.879,95.924,670
2025-07-09T01:40:00.000000000Z,95.924,95.933,95.854,95.867,644
2025-07-09T01:45:00.000000000Z,95.866,95.935,95.835,95.928,748
2025-07-09T01:50:00.000000000Z,95.927,95.942,95.898,95.921,566
2025-07-09T01:55:00.000000000Z,95.923,95.941,95.904,95.922,677
2025-07-09T02:00:00.000000000Z,95.92,95.959,95.898,95.946,746
2025-07-09T02:05:00.000000000Z,95.946,95.978,95.929,95.964,757
2025-07-09T02:10:00.000000000Z,95.964,96.012,95.96,96.0,564
2025-07-09T02:15:00.000000000Z,95.999,96.006,95.938,95.948,690
2025-07-09T02:20:00.000000000Z,95.947,95.969,95.926,95.949,730
2025-07-09T02:25:00.000000000Z,95.941,95.986,95.934,95.952,610
2025-07-09T02:30:00.000000000Z,95.951,95.998,95.95,95.956,583
2025-07-09T02:35:00.000000000Z,95.956,95.956,95.903,95.927,737
2025-07-09T02:40:00.000000000Z,95.927,95.954,95.866,95.894,812
2025-07-09T02:45:00.000000000Z,95.893,95.9,95.812,95.816,698
2025-07-09T02:50:00.000000000Z,95.816,95.857,95.804,95.85,622
2025-07-09T02:55:00.000000000Z,95.848,95.882,95.844,95.874,494
2025-07-09T03:00:00.000000000Z,95.874,95.909,95.83,95.83,666
2025-07-09T03:05:00.000000000Z,95.828,95.862,95.828,95.855,614
2025-07-09T03:10:00.000000000Z,95.854,95.864,95.822,95.828,308
2025-07-09T03:15:00.000000000Z,95.826,95.846,95.794,95.82,448
2025-07-09T03:20:00.000000000Z,95.82,95.836,95.808,95.826,518
2025-07-09T03:25:00.000000000Z,95.826,95.876,95.826,95.872,348
2025-07-09T03:30:00.000000000Z,95.872,95.894,95.854,95.872,436
2025-07-09T03:35:00.000000000Z,95.873,95.904,95.866,95.89,371
2025-07-09T03:40:00.000000000Z,95.89,95.906,95.881,95.891,364
2025-07-09T03:45:00.000000000Z,95.888,95.912,95.866,95.902,338
2025-07-09T03:50:00.000000000Z,95.902,95.95,95.896,95.946,326
2025-07-09T03:55:00.000000000Z,95.946,95.963,95.934,95.947,436
2025-07-09T04:00:00.000000000Z,95.948,95.999,95.936,95.986,548
2025-07-09T04:05:00.000000000Z,95.986,95.995,95.97,95.99,293
2025-07-09T04:10:00.000000000Z,95.99,96.019,95.974,96.006,394
2025-07-09T04:15:00.000000000Z,96.006,96.037,96.0,96.029,390
2025-07-09T04:20:00.000000000Z,96.028,96.044,95.996,96.038,561
2025-07-09T04:25:00.000000000Z,96.039,96.058,96.035,96.046,407
2025-07-09T04:30:00.000000000Z,96.042,96.128,96.04,96.119,453
2025-07-09T04:35:00.000000000Z,96.12,96.201,96.106,96.174,533
2025-07-09T04:40:00.000000000Z,96.174,96.182,96.112,96.114,652
2025-07-09T04:45:00.000000000Z,96.114,96.129,96.098,96.118,361
2025-07-09T04:50:00.000000000Z,96.116,96.164,96.108,96.154,485
2025-07-09T04:55:00.000000000Z,96.154,96.156,96.104,96.108,607
2025-07-09T05:00:00.000000000Z,96.106,96.167,96.104,96.158,416
2025-07-09T05:05:00.000000000Z,96.158,96.2,96.157,96.176,448
2025-07-09T05:10:00.000000000Z,96.176,96.217,96.174,96.174,526
2025-07-09T05:15:00.000000000Z,96.177,96.21,96.145,96.164,479
2025-07-09T05:20:00.000000000Z,96.163,96.171,96.12,96.122,643
2025-07-09T05:25:00.000000000Z,96.122,96.14,96.093,96.096,487
2025-07-09T05:30:00.000000000Z,96.097,96.105,96.066,96.094,510
2025-07-09T05:35:00.000000000Z,96.093,96.134,96.09,96.116,554
2025-07-09T05:40:00.000000000Z,96.118,96.118,96.084,96.094,612
2025-07-09T05:45:00.000000000Z,96.096,96.103,96.04,96.06,628
2025-07-09T05:50:00.000000000Z,96.06,96.072,96.027,96.032,585
2025-07-09T05:55:00.000000000Z,96.032,96.056,96.025,96.044,595
2025-07-09T06:00:00.000000000Z,96.046,96.065,95.988,96.001,506
2025-07-09T06:05:00.000000000Z,96.004,96.007,95.949,95.958,557
2025-07-09T06:10:00.000000000Z,95.956,95.956,95.908,95.93,576
2025-07-09T06:15:00.000000000Z,95.932,95.957,95.926,95.952,464
2025-07-09T06:20:00.000000000Z,95.952,95.964,95.93,95.942,540
2025-07-09T06:25:00.000000000Z,95.94,95.942,95.907,95.932,629
2025-07-09T06:30:00.000000000Z,95.932,95.972,95.918,95.956,727
2025-07-09T06:35:00.000000000Z,95.959,95.966,95.932,95.956,828
2025-07-09T06:40:00.000000000Z,95.954,95.97,95.935,95.969,705
2025-07-09T06:45:00.000000000Z,95.968,96.05,95.96,96.046,562
