time,open,high,low,close,volume
2025-07-08T17:20:00.000000000Z,199.392,199.4,199.35,199.378,1152
2025-07-08T17:25:00.000000000Z,199.376,199.392,199.334,199.341,1025
2025-07-08T17:30:00.000000000Z,199.342,199.36,199.306,199.316,1108
2025-07-08T17:35:00.000000000Z,199.316,199.338,199.298,199.318,783
2025-07-08T17:40:00.000000000Z,199.319,199.377,199.308,199.372,841
2025-07-08T17:45:00.000000000Z,199.374,199.416,199.37,199.408,913
2025-07-08T17:50:00.000000000Z,199.408,199.422,199.384,199.412,890
2025-07-08T17:55:00.000000000Z,199.411,199.427,199.392,199.424,730
2025-07-08T18:00:00.000000000Z,199.424,199.43,199.379,199.39,932
2025-07-08T18:05:00.000000000Z,199.392,199.394,199.357,199.382,841
2025-07-08T18:10:00.000000000Z,199.38,199.439,199.377,199.424,704
2025-07-08T18:15:00.000000000Z,199.424,199.434,199.39,199.392,669
2025-07-08T18:20:00.000000000Z,199.392,199.394,199.363,199.368,964
2025-07-08T18:25:00.000000000Z,199.369,199.394,199.366,199.388,580
2025-07-08T18:30:00.000000000Z,199.39,199.412,199.378,199.411,697
2025-07-08T18:35:00.000000000Z,199.412,199.44,199.402,199.43,681
2025-07-08T18:40:00.000000000Z,199.43,199.438,199.384,199.385,690
2025-07-08T18:45:00.000000000Z,199.384,199.4,199.368,199.394,754
2025-07-08T18:50:00.000000000Z,199.395,199.425,199.385,199.408,847
2025-07-08T18:55:00.000000000Z,199.406,199.419,199.37,199.37,752
2025-07-08T19:00:00.000000000Z,199.378,199.392,199.342,199.373,668
2025-07-08T19:05:00.000000000Z,199.375,199.382,199.33,199.34,631
2025-07-08T19:10:00.000000000Z,199.344,199.354,199.326,199.336,724
2025-07-08T19:15:00.000000000Z,199.336,199.345,199.323,199.344,580
2025-07-08T19:20:00.000000000Z,199.344,199.356,199.325,199.327,594
2025-07-08T19:25:00.000000000Z,199.328,199.344,199.322,199.338,496
2025-07-08T19:30:00.000000000Z,199.335,199.349,199.32,199.327,473
2025-07-08T19:35:00.000000000Z,199.326,199.328,199.281,199.292,617
2025-07-08T19:40:00.000000000Z,199.292,199.307,199.268,199.27,389
2025-07-08T19:45:00.000000000Z,199.272,199.301,199.272,199.298,522
2025-07-08T19:50:00.000000000Z,199.301,199.303,199.236,199.253,534
2025-07-08T19:55:00.000000000Z,199.254,199.269,199.238,199.258,957
2025-07-08T20:00:00.000000000Z,199.254,199.281,199.228,199.253,792
2025-07-08T20:05:00.000000000Z,199.254,199.288,199.252,199.258,404
2025-07-08T20:10:00.000000000Z,199.259,199.262,199.18,199.199,409
2025-07-08T20:15:00.000000000Z,199.198,199.212,199.164,199.183,454
2025-07-08T20:20:00.000000000Z,199.18,199.187,199.166,199.17,406
2025-07-08T20:25:00.000000000Z,199.171,199.198,199.164,199.18,404
2025-07-08T20:30:00.000000000Z,199.182,199.185,199.137,199.14,436
2025-07-08T20:35:00.000000000Z,199.14,199.192,199.132,199.18,382
2025-07-08T20:40:00.000000000Z,199.178,199.192,199.162,199.165,369
2025-07-08T20:45:00.000000000Z,199.166,199.18,199.139,199.178,783
2025-07-08T20:50:00.000000000Z,199.179,199.232,199.171,199.224,436
2025-07-08T20:55:00.000000000Z,199.228,199.241,199.18,199.224,123
